criterion_id,a_correctness,a_scaffolding,b,n_persons,a_se_approx
tb_0081_c09,0.983555,0.0,4.506956,113,0.577218
tb_0081_c10,1.042276,0.0,1.602438,115,0.24113
tb_0082_c01,1.77759,0.0,1.326964,115,0.390524
tb_0082_c02,1.389487,0.0,2.133141,115,0.346009
tb_0082_c03,1.361634,0.0,2.721974,115,0.379743
tb_0082_c04,0.889615,0.0,3.011381,115,0.321781
tb_0082_c05,2.239891,0.0,0.762513,115,0.481012
tb_0082_c06,1.767744,0.0,1.676621,114,0.41392
tb_0083_c01,0.217392,0.0,2.942748,115,0.225003
tb_0083_c03,0.575863,-0.830171,1.911212,115,0.214522
tb_0083_c07,0.999689,0.0,0.450613,112,0.189579
tb_0084_c02,0.472995,0.0,1.328156,115,0.141317
tb_0084_c06,1.372348,0.0,6.154075,115,0.988458
tb_0084_c07,2.756959,0.0,6.283206,114,0.941544
tb_0085_c05,0.884969,0.0,4.004618,115,0.461372
tb_0086_c01,1.694591,0.0,3.460122,114,0.502598
tb_0086_c02,0.265478,0.0,3.885892,115,0.3564
tb_0087_c01,1.467197,0.0,3.157925,115,0.435222
tb_0087_c05,0.0,-1.352099,3.791464,115,0.679221
